ts	phase	decision	why	evidence	result
2026-08-30T08:43:12Z	frame	started from merged main at d0c1b39	measure release work against the verified analyzer, not the feature branch	commit d0c1b39	baseline fixed
2026-08-30T08:43:12Z	frame	kept the package at the repository root	this is one CLI and library package; a monorepo would add paths and release coordination without removing complexity	package.json, rg --files	root package retained
2026-08-30T08:43:12Z	frame	defined release readiness as clean install, checks, audit, packed CLI proof, repository policy files, and a reproducible publish path	each condition can be checked from a clean clone without trusting this run's summary	package.json, .github/workflows/ci.yml	predicate set
2026-08-30T08:56:40Z	build	added a package verification skill backed by a real tarball consumer	package-source tests can miss files, exports, lifecycle behavior, and version drift at the published boundary	bun run verify:package; .verification/effect-doctor/2026-08-30T08-54-20-813Z-546	pack, install, CLI scan/compare/rules, library import, and no-edit proof passed
2026-08-30T08:56:40Z	build	kept the verification controller in one repository script	the CLI is short-lived and the release predicate needs one deterministic command, not a controller framework	scripts/verify-package.mjs; .cursor/skills/verify-effect-doctor	verification surface kept small
2026-08-30T08:59:27Z	build	prepared @ocarinalabs/effect-doctor 0.1.0 for public npm publication	0.0.0 and private true made publication impossible; the scoped name is available and 0.1.0 communicates an initial supported release	package.json; npm publish --dry-run --json	public dry run passed with no manifest repair warning
2026-08-30T08:59:27Z	build	derived the runtime doctor version from package.json	a second literal drifted under ordinary version bumps and could mislabel CLI output and reports	src/version.ts; tests/package.test.ts; node dist/bin.js --version	package and runtime versions agree at 0.1.0
2026-08-30T08:59:27Z	subtract	stopped emitting source and declaration maps	the package omitted src, so the maps pointed to files users could not inspect; dropping broken artifacts reduced the archive without widening the package surface	tsconfig.build.json; npm publish --dry-run --json	archive reduced to 100 files and 456327 unpacked bytes
2026-08-30T09:04:20Z	build	validated provider spans against snapshotted source and filtered diagnostics by detected Effect version	provider output was schema-shaped but could still produce empty evidence, invalid public positions, or v4-only findings in v3 files	74 tests; bun run check; bun run audit	out-of-bounds and zero-based diagnostics fail closed; unsupported-version Oxlint diagnostics abstain
2026-08-30T09:04:20Z	build	split provider normalization into boundary, policy, and construction helpers	the first fail-closed implementation crossed Fallow cognitive-complexity thresholds	bun run audit	zero complexity and duplication findings above threshold
2026-08-30T09:06:19Z	build	made exported report schemas enforce scanner invariants	consumers could previously decode a successful report with no engines, incomplete coverage, or a false summary	tests/model.test.ts; 80 tests; bun run audit	exact complete provider receipts, matching inventories and versions, accurate summaries, and coherent comparison counts are required
2026-08-30T09:07:45Z	build	made wrapped generator detection return the unwrapped function node	the previous type guard claimed a transparent wrapper was the generator, so range identity silently missed the throw	tests/fixtures/doctor/src/throw-in-effect-generator.ts; first-party liveness	wrapped generator throw is reported
2026-08-30T09:07:45Z	build	scoped unsafe Chunk wrap ordering to one execution boundary	lexical order across a deferred nested function is not runtime order and produced a false positive	tests/fixtures/doctor/src/unsafe-chunk-mutation.ts; first-party liveness	deferred wrap abstains while four straight-line mutations remain reported
2026-08-30T09:08:47Z	build	exported the typed failure cases from the package root	scanProject exposes DoctorFailure in its Effect error channel, so consumers need names they can import without a forbidden internal path	bun run verify:package; .verification/effect-doctor/2026-08-30T09-08-29-834Z-8399	fresh consumer imported all three runtime error classes from the package name
2026-08-30T09:11:38Z	build	bounded each analyzer output stream at 16 MiB and replaced inherited environment with a platform allowlist	unbounded buffering allowed memory exhaustion and full environment inheritance exposed unrelated credentials to analyzer children	tests/process.test.ts; 82 tests; bun run audit	over-limit output fails closed and a parent sentinel secret is absent in the child
2026-08-30T09:16:28Z	build	rewrote the landing path around requirements, one successful scan, CLI exits, comparison, and the public API	the previous README began with internal policy and left installation, root tsconfig, Node floor, and error JSON implicit	README.md; markdown link check; clean fixture CLI output	install-first reader path is self-contained
2026-08-30T09:16:28Z	build	added contribution, conduct, support, security, changelog, issue, pull-request, and release contracts	public package users and contributors need explicit ownership and private-reporting paths before publication	CONTRIBUTING.md; SECURITY.md; SUPPORT.md; CODE_OF_CONDUCT.md; CHANGELOG.md; .github templates	community and disclosure surface defined without inventing a contact address
2026-08-30T09:16:28Z	frame	kept repository visibility and npm provenance as an explicit release gate	changing a private repository to public is a separate authorization decision; private source can use OIDC but cannot generate npm provenance	docs/release.md; GitHub repository metadata	no visibility or publication side effect performed
2026-08-30T09:16:28Z	subtract	removed one narrative configuration comment and kept the proven TaggedError compatibility note	Comment Sicko found one redundant narration and no MUST KILL comments	oxlint.config.ts; Comment Sicko report	one comment deleted, no suppressions or protocol fixtures removed
2026-08-30T09:16:28Z	verify	packed only current user documentation and removed broken research links	the prior installed README referenced files absent from the tarball	npm pack --dry-run; bun run verify:package	109 files, 76626 compressed bytes, 485199 unpacked bytes; required docs present and no source maps
2026-08-30T09:23:18Z	build	made CI exercise the release predicate on Linux, macOS, and Windows with pinned actions and read-only permissions	package consumers span all three operating systems and movable action tags widen the supply-chain boundary	.github/workflows/ci.yml; bun run verify:release	84 tests, dependency audit, Fallow, self-scan, installed tarball consumer, and dry-run pack passed locally
2026-08-30T09:23:18Z	build	added an exact-tag OIDC publishing workflow without publishing	a release must match package.json and should not store a long-lived npm token; repository visibility and first publication remain explicit gates	.github/workflows/publish.yml; scripts/verify-release-tag.mjs; tests/release.test.ts	matching v0.1.0 succeeds, mismatched tags fail, workflow YAML parses
2026-08-30T09:23:18Z	build	added weekly Bun and GitHub Actions updates plus a high-severity dependency audit	Fallow audits source structure rather than registry advisories, so both checks are required	.github/dependabot.yml; bun audit --audit-level=high	no vulnerabilities across 256 packages
2026-08-30T09:23:18Z	build	made installed CLI verification portable across npm shims	Windows cmd shims cannot be launched reliably through the same direct process call used on Unix	scripts/verify-package.mjs; bun run verify:package	all platforms require a generated shim; Windows drives the installed entrypoint with Node while Unix drives the shim
2026-08-30T09:23:47Z	build	set repository workflow defaults to read-only, disabled workflow pull-request approvals, and required immutable action SHAs	least privilege should be enforced by GitHub as well as declared inside workflow files	GitHub Actions permissions API	default read, approvals false, SHA pinning required
2026-08-30T09:23:47Z	build	enabled Dependabot vulnerability alerts	weekly update pull requests do not cover newly disclosed vulnerabilities between runs	GitHub vulnerability alerts API	endpoint now returns 204 enabled
2026-08-30T09:50:00Z	review	ran the pstack Interrogate gate with four independent model configurations	one reviewer can miss a release-path or runtime-contract failure; identical intent and rubric make disagreements inspectable	gpt-5.6-sol max; gpt-5.6-terra ultra; gpt-5.6-luna max; gpt-5.5 xhigh	all P1 and reproducible P2 findings acted on; recursive reviewer fan-out was interrupted
2026-08-30T09:50:00Z	build	split release verification from environment-gated OIDC publishing and transferred one hashed tarball	the prior job approved before verification, ran tag code with OIDC, and repacked after testing	.github/workflows/publish.yml; scripts/verify-package.mjs; tests/release.test.ts	stable main-ancestor tags produce an artifact without OIDC; the gated no-checkout job hash-checks and publishes exact bytes
